"title","object","action","food","allplay"
"mayan pyramids of chichen itza","fake flowers","transport","bacon","seal"
"ponte vecchio","cell phone","number","bay leaves","kestrel"
"dolphin","bag of cotton balls","cause","cocoa","london eye"
"eiffel tower","stick of incense","accept","oven","guggenheim museum (bilbao)"
"arctic wolf","bracelet","strengthen","hose","hare"
"horse","tennis ball","hurry","mesh skimmer","toad"
"disneyland paris","flyswatter","care","lemongrass","cloud gate, chicago"
"sloth","whip","explain","chopping board","ant"
"cow","piece of gum","bore","flour","turkey"
"blackbird","plush dinosaur","play","french bread","neuschwanstein castle"
"starfish","martini glass","welcome","asparagus","angkor wat, cambodia"
"shark","mop","curl","water cooler","freedom tower, ground zero"
"st. marks basilica and campanile","eraser","telephone","drinks | image","dog"
"pig","purse/bag","scratch","squeegee mop","alhambra"
"pigeon","needle","knit","fried chicken","washington monument"
"tsarskoye selo (catherine palace), st petersburg, russia","credit card","question","small oven","bullock"
"tit","statuette","wobble","microwave oven","portofino"
"summer palace, an imperial garden in beijing","tire swing","battle","sponge","jellyfish"
"little mermaid","money","perform","apple","walrus"
"marmot","helmet","bare","napkin","polecat"
"mill complex at kinderdijk","cat","blind","green pepper","centipede"
"coral","class ring","watch","orange","penguin"
"pony","can of chili","consider","strawberry","leaning tower of pisa"
"kitten","pocketknife","shop","breakfast sandwich","frog"
"pheasant","candy wrapper","refuse","lantern","goldfish"
"dragonfly","laser pointer","invent","mustard","tiger"
"pelican","cucumber","permit","hot chocolate","hamster"
"helsinki cathedral","couch","charge","stove","petronas twin towers"
"newgrange","ball of yarn","trick","waffle","alligator"
"notre dame","purse","extend","broth","berlin cathedral"
"tower bridge","tube of lip balm","wrestle","hot dog","vulture"
"guinea pig","water bottle","educate","pineapple","ox"
"dachshund","umbrella","park","mandarin","stork"
"llama","camera","concern","bagel","the white house"
"pompeii","quilt","ban","smoothie","mole"
"rabbit","candlestick","decide","nectarine","everglades national park"
"pompidue center","phone","rush","mango","puma"
"ducks","pair of dice","clear","coffee","sydney harbor bridge"
"temple of luxor","desk","name","laundry basket","dove"
"cologne cathedral","bookmark","offend","croissant","westminster abbey"
"hedgehog","photo album","suspend","milk","bath, england"
"shanghai world finacial center","spool of ribbon","confess","dish towel","shells"
"zebr","sheet of paper","separate","colander","british museum"
"coyote","tissue box","retire","red wine glass","loch ness"
"hawk","container of pudding","delight","lime","squid"
"sacre coeur, paris","glasses","frame","toast","wren"
"elk","egg","end","wheat bread","burj al arab hotel"
"trevi fountain","plastic fork","dry","grapefruit","piazza del campo, siena"
"willis tower (sears tower)","bottle of paint","disarm","water goblet","millau bridge, france"
"robin","soccer ball","enjoy","fish and chips","mount etna"
"the shard","hamster","land","chicken nugget","tarantula"
"cormorant","novel","rinse","iced tea","juliets balcony"
"st. basils cathedral","snowglobe","smash","dinner knife","blue mosque, istanbul"
"elephant","pen","ruin","dishwasher","swallow"
"moulin rouge","box of chocolates","receive","dessert fork","empire state building"
"beetle","toilet paper tube","request","lemonade","berlin wall"
"stonehenge","bottle of water","interrupt","olive","anteater"
"kronborg castle","flashlight","fire","fruit","fox"
"statue of liberty","notepad","dream","microwave","lion"
"polar bear","plush cat","admit","cheese","the great sphinx"
"bat","door","learn","onion","necktie"
"shrimp","hair clip","supply","bowl","letter opener"
"mount everest","pair of earrings","introduce","beverage opener","leg warmers"
"great wall of china","ice pick","regret","chives","food"
"reindeer","outlet","return","shallot","garden spade"
"matterhorn","stop sign","jog","rolling pin","spool of wire"
"cn tower","cellphone","grate","cilantro","pool stick"
"windsor castle","rubber duck","mix","tea spoon","lace"
"golden gate bridge","crow","expand","turmeric","wishbone"
"grasshopper","wristwatch","rob","pasta","toothpaste"
"hippopotamus","speakers","bow","hanging pendant","soap"
"blue lagoon","pair of tongs","unfasten","pot","hair tie"
"mule","bottle of sunscreen","instruct","sweet potato","apple"
"porcupine","coffee mug","fold","apron","beef"
"giraffe","hand mirror","hope","mushroom","thermometer"
"falcon","bottle","embarrass","rice cooker","bangle bracelet"
"worm","hammer","beg","telephone","chenille stick"
"gateway arch","hand fan","stain","grater","pair of scissors"
"wolf","toe ring","last","jam","grid paper"
"moth","pair of binoculars","boast","chocolate milk","bottle of syrup"
"mount rushmore","straw","occur","watermelon","pinecone"
"pig, hog","video games","drop","basil","zipper"
"sparrow","box of q-tips","warn","cookie","bow tie"
"sydney opera house","turtle","love","mousetrap","box of crayons"
"lizard","lion","pretend","blueberry","bottle of soda"
"mouse","tea pot","tie","soda","rubber band"
"kremlin","basketball","hum","red chillies","scarf"
"st. pauls cathedral","notebook","miss","papaya","chain"
"chicken","pair of water goggles","realise","electric drill","sidewalk"
"skunk","box of markers","hammer","porridge","house"
"petra","trash bag","breathe","speaker","locket"
"las vegas","multitool","bury","sandwich","chapter book"
"capitol hill","can of beans","sound","clock","water"
"mink","sharpie","surprise","baking tray","beaded bracelet"
"florence cathedral","giraffe","coach","cutlery","belt"
"arena di verona","slipper","pull","bachelor griller","lotion"
"mallard","toothbrush","ignore","wooden spoon","toilet"
"winter palace","wine glass","ski","breakfast cereal","quartz crystal"
"fly","sketch pad","follow","drawer","canvas"
"prague castle","cement stone","plant","corkscrew","toy top"
"wailing wall","carrot","hover","celery","wooden spoon"
"colosseum","frying pan","prevent","rosemary","box of chalk"
"mongoose","bottle of ink","fancy","lettuce","white out"
"mecca","cup","strip","butter","sofa"
"rat","matchbook","pinch","pressure cooker","toy boat"
"bee","candy bar","cough","omelet","button"
"madrid palace","table","smoke","potato","mirror"
"spanish steps","zebra","spark","water purifier","hanger"
"brandenburg gate, berlin","mp3 player","imagine","french fries","vase"
"owl","drawer","buzz","saucer","cookie tin"
"big ben","pair of knitting needles","box","washing machine","hair pin"
"spider","banana","wait","coconut","shovel"
"hollywood sign","can of peas","punish","fruit juice","postage stamp"
"kangaroo","acorn","overflow","paintbrush","dagger"
"iguazu national park, argentina","light","continue","dish soap","baseball"
"jay","street lights","heal","ice cream","chalk"
"ostrich","ipod","mate","brussels sprout","bottle of glue"
"tadpole","paper","face","melon","blowdryer"
"pyramids of giza","fishing hook","suit","oven glove","sticker book"
"tropical fish","magnifying glass","attend","chocolate","cars"
"louse","conditioner","entertain","rye bread","hunt"
"sistine chapel","beaded necklace","yawn","tossed salad","fry"
"victoria falls","bread","x-ray","rubber gloves","sign"
"edinburgh castle","baseball hat","complain","muffin","approve"
"kilimanjaro","lime","drown","appliance plug","expect"
"moai","key chain","harm","bread and butter plate","float"
"sea lion","ipod charger","memorise","bucket","head"
"lobster","hand bag","step","air conditioner","advise"
"elk , moose ","book of matches","pass","dinner fork","recognise"
"koala","rock","drag","television","clean"
"central park","paint brush","rhyme","tomato","strap"
"nightingale","shirt","film","candy","whine"
"snake","pencil holder","shrug","spring onions","chew"
"santorini","keyboard","zoom","dressing","apologise"
"acropolis, greece","tube of lipstick","grab","soup","lock"
"atomium, brussels","cd","destroy","curling iron","present"
"whale","ice cream stick","marry","sewing machine","injure"
